AGE;GENDER;DOMAIN;PhD;YEARSEXP;UNIVERSITY;UOC_POSITION;OTHER_POSITION;OTHERSTATUS;USERWIKI;PU1;PU2;PU3;PEU1;PEU2;PEU3;ENJ1;ENJ2;Qu1;Qu2;Qu3;Qu4;Qu5;Vis1;Vis2;Vis3;Im1;Im2;Im3;SA1;SA2;SA3;Use1;Use2;Use3;Use4;Use5;Pf1;Pf2;Pf3;JR1;JR2;BI1;BI2;Inc1;Inc2;Inc3;Inc4;Exp1;Exp2;Exp3;Exp4;Exp5
40;0;2;1;14;1;2;?;?;0;4;4;3;5;5;3;4;4;3;3;2;2;3;3;3;1;2;4;2;4;4;4;3;1;1;2;4;1;1;3;4;1;2;3;5;5;5;5;4;4;4;1;2
42;0;5;1;18;1;2;?;?;0;2;3;3;4;4;3;3;4;4;4;3;3;2;3;3;1;1;2;1;4;4;4;2;2;1;1;2;1;1;1;4;3;2;2;4;4;3;4;2;2;4;2;4
37;0;4;1;13;1;3;?;?;0;2;2;2;4;4;3;3;3;2;2;2;5;3;2;3;2;2;4;3;4;2;4;1;1;1;1;1;3;3;3;4;3;1;1;5;3;5;5;2;2;2;1;3
40;0;4;0;13;1;3;?;?;0;3;3;4;3;3;3;4;3;3;4;3;3;3;3;4;3;2;2;3;5;5;5;3;3;3;3;3;4;4;4;5;4;3;3;3;4;4;3;4;4;3;3;4
51;0;6;0;8;1;3;?;?;1;4;3;5;5;4;3;4;4;4;5;4;3;4;4;4;4;3;2;3;5;5;5;3;3;5;5;5;5;5;5;3;3;5;5;5;5;4;4;5;5;5;4;4
47;0;4;0;17;1;3;?;?;0;2;2;3;5;4;3;3;3;3;3;3;4;4;3;4;4;3;5;3;5;5;5;2;1;3;2;4;4;3;2;4;1;4;4;5;3;2;4;4;3;4;1;4
43;0;4;0;11;1;3;?;?;0;4;4;4;5;?;5;5;5;4;4;4;2;4;4;4;4;3;5;3;5;5;5;3;4;4;3;5;4;3;3;5;4;3;4;4;4;4;1;4;5;5;2;2
55;0;6;0;12;1;3;?;?;0;4;4;5;4;3;4;4;3;3;3;3;3;4;3;3;4;4;5;4;5;5;5;1;2;3;3;4;4;3;4;4;4;3;4;3;3;3;3;4;4;3;1;4
54;0;1;1;14;1;2;?;?;0;4;4;5;4;5;4;5;5;4;4;2;5;3;4;3;4;3;3;3;5;5;4;1;1;4;4;5;1;2;3;3;2;4;3;5;5;4;2;5;5;5;1;1
50;0;4;1;25;1;2;?;?;0;4;4;4;5;5;?;5;4;4;4;4;2;3;3;?;3;3;5;3;4;5;5;4;1;5;4;5;2;2;4;4;4;5;5;5;5;5;5;4;5;2;1;1
40;0;4;1;13;1;2;?;?;1;3;3;4;5;4;4;5;4;3;4;3;3;2;3;4;2;2;4;3;5;4;5;2;3;4;3;4;1;2;4;4;3;3;4;3;3;2;4;4;4;4;1;2
48;0;6;0;25;1;3;?;?;0;5;4;3;5;5;3;5;5;3;5;4;2;3;4;3;1;1;1;3;2;2;3;1;1;1;1;1;1;1;1;1;1;2;2;3;4;4;5;4;4;5;1;1
38;0;6;1;15;1;2;?;?;0;4;5;5;5;4;3;4;4;4;4;2;2;4;3;4;4;3;4;3;4;2;4;5;5;4;4;4;3;5;5;4;2;4;4;4;5;5;5;4;4;5;1;3
56;0;6;1;13;1;3;?;?;1;1;1;1;2;1;3;2;2;2;2;?;4;2;2;3;1;2;2;2;1;1;1;2;2;1;1;2;1;1;1;1;2;1;1;1;2;2;3;1;1;1;2;1
44;0;4;1;15;1;2;?;?;1;4;4;4;3;4;4;5;5;4;5;4;2;4;4;3;4;3;3;3;5;5;4;3;2;4;4;4;4;5;5;4;3;5;5;4;4;4;4;4;4;5;4;4
39;0;6;1;12;1;2;?;?;0;3;3;3;5;4;?;3;4;3;4;2;4;3;2;3;1;4;5;4;5;5;5;1;1;2;2;3;2;3;3;4;3;1;1;4;5;2;1;2;2;2;1;1
40;0;4;1;18;1;2;?;?;1;4;4;5;5;4;4;4;5;4;4;5;2;4;4;4;2;3;5;5;5;4;4;1;1;4;4;5;4;5;5;4;3;4;4;4;3;3;4;5;4;5;1;5
51;0;6;1;20;1;2;?;?;0;4;4;4;5;4;4;5;5;4;4;4;3;3;3;3;2;3;3;2;4;5;4;2;2;2;2;4;5;5;3;4;3;3;3;4;4;4;4;4;5;5;2;4
39;0;4;0;12;1;4;?;?;1;5;4;4;4;4;4;5;4;4;4;4;2;5;4;4;3;3;4;3;5;5;5;3;2;4;4;4;5;5;4;3;2;4;4;5;5;4;5;4;5;5;3;3
33;0;6;1;5;1;2;?;?;0;2;2;5;5;5;3;4;4;4;5;4;4;4;3;3;1;2;2;2;5;5;3;1;1;1;1;4;3;3;3;3;3;3;3;2;4;2;3;2;4;4;1;2
36;0;6;1;10;1;3;?;?;0;4;2;5;5;5;?;5;5;5;5;5;4;4;2;4;5;4;4;4;5;5;5;4;5;5;5;5;5;3;5;5;5;5;5;5;4;4;2;5;5;5;1;5
45;0;6;1;15;1;2;?;?;0;2;2;3;4;4;3;3;4;4;4;3;2;2;2;2;1;2;3;2;3;2;2;1;1;1;1;4;1;1;1;4;3;2;2;3;4;3;2;3;3;2;1;2
38;0;1;0;10;1;4;?;?;0;3;2;3;5;4;3;4;4;4;3;2;4;4;4;3;1;2;2;3;4;4;4;2;1;1;1;4;1;2;1;5;4;3;3;5;4;4;3;3;4;4;1;3
38;0;3;1;15;1;2;?;?;1;4;4;4;5;5;5;5;5;4;4;3;3;3;4;3;3;2;3;3;4;3;4;4;4;4;3;4;2;3;4;5;5;4;4;5;4;5;4;2;4;4;4;2
38;0;5;1;14;1;2;?;?;1;3;2;3;4;4;4;4;4;3;5;3;4;3;2;2;2;2;2;2;4;2;4;2;1;2;3;3;3;1;2;5;4;3;3;5;5;3;2;3;4;4;2;2
40;0;6;0;9;1;4;?;?;0;5;5;5;4;4;3;4;4;3;3;3;3;4;4;4;3;4;4;4;5;5;5;3;4;3;3;4;3;4;4;5;4;4;4;5;4;4;4;4;5;2;4;4
33;0;5;1;6;1;2;?;?;0;2;3;2;5;5;?;5;5;4;5;3;4;3;?;?;2;2;3;2;3;4;4;2;2;2;2;2;2;3;3;5;3;3;3;4;3;4;3;2;3;5;1;1
38;0;1;1;5;1;3;?;?;0;3;3;4;4;4;3;4;3;3;3;3;3;3;4;3;1;4;4;3;5;5;5;2;1;3;1;4;1;1;1;4;2;3;4;5;5;4;4;3;3;4;2;1
35;0;6;0;10;1;3;?;?;0;4;3;4;4;3;4;3;3;3;3;4;4;3;4;4;4;4;4;3;4;4;3;3;4;3;4;3;4;4;4;4;3;3;3;4;4;3;4;3;3;4;3;3
39;0;4;1;10;1;3;?;?;0;2;3;3;4;4;4;5;5;2;4;2;3;3;2;2;1;2;2;2;2;3;3;2;1;2;2;2;3;3;4;2;2;3;2;4;4;4;4;4;5;5;1;4
37;0;6;1;15;1;2;?;?;0;3;3;3;4;4;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;3;2;2;1;3;2;3;3;2;2;3;3;3;3;2;2;3;1;3
43;0;1;1;12;1;2;?;?;1;4;4;4;5;5;3;4;4;4;4;4;2;5;5;5;5;2;1;3;5;5;5;5;4;5;5;5;3;2;5;5;2;5;5;3;3;4;5;5;5;5;2;2
41;0;6;1;10;1;3;?;?;0;4;4;5;3;3;3;3;3;4;4;3;3;4;3;4;4;3;4;2;5;5;5;2;1;3;4;4;4;4;4;5;2;4;4;4;3;3;3;5;5;5;2;4
38;0;4;1;14;1;2;?;?;1;4;4;4;5;4;3;4;4;4;4;3;3;4;4;3;4;3;4;3;5;4;5;3;3;4;4;4;4;3;3;5;3;4;5;4;4;3;3;4;4;4;3;4
51;0;6;0;?;1;3;?;?;0;4;4;4;4;4;4;4;4;3;4;3;2;3;2;3;3;2;3;4;5;4;5;2;1;4;4;4;2;3;4;4;4;4;4;4;4;3;3;3;3;3;1;5
49;0;6;1;10;1;2;?;?;0;3;3;4;5;4;5;4;4;4;3;4;?;4;4;4;2;4;3;4;5;5;5;2;2;3;3;4;4;4;3;5;4;4;4;5;4;4;4;4;4;4;1;2
43;0;6;0;9;1;4;?;?;0;2;2;2;4;2;2;2;2;2;2;2;4;2;2;2;1;2;2;2;3;2;4;1;1;2;2;2;2;2;1;3;3;2;2;3;3;2;2;2;2;2;1;2
38;0;1;1;12;1;2;?;?;0;3;2;3;5;4;3;4;4;3;4;3;5;2;3;3;1;3;3;3;4;5;3;2;1;3;3;3;4;3;3;4;4;3;3;4;4;4;2;2;3;4;1;3
43;0;6;1;14;1;2;?;?;0;3;4;5;4;3;3;4;3;3;4;3;4;3;3;3;2;2;3;3;5;5;5;2;2;4;4;4;3;4;3;4;4;4;4;5;4;4;4;4;5;5;1;2
35;0;6;1;8;1;5;?;?;?;2;2;2;5;4;?;4;4;3;4;4;3;2;2;?;1;1;1;?;4;3;4;2;1;2;?;1;5;2;?;5;4;1;1;4;4;4;?;4;4;4;1;4
37;0;1;1;9;1;2;?;?;0;3;2;3;4;3;3;4;3;2;2;2;4;1;3;3;1;2;3;3;3;4;3;1;1;2;2;2;3;2;3;3;3;2;2;3;3;3;3;2;2;4;1;2
46;0;6;1;18;1;3;?;?;0;3;3;3;4;4;3;4;4;3;4;2;5;2;3;3;1;2;4;2;4;5;5;2;3;2;1;4;2;3;2;4;5;3;2;4;3;4;4;2;2;4;1;3
36;0;5;1;14;1;2;?;?;0;3;3;3;4;?;2;3;5;2;2;1;5;1;2;1;1;1;5;2;5;5;5;1;1;1;1;1;1;1;1;5;5;1;2;5;1;1;5;1;1;2;1;2
39;0;1;1;10;1;2;?;?;0;3;3;4;4;4;?;4;3;4;4;4;2;4;?;?;3;2;2;3;4;4;4;4;4;4;4;4;2;2;2;4;2;4;4;4;2;2;4;4;4;2;1;?
35;0;4;1;7;1;2;?;?;0;4;4;4;3;4;3;4;4;2;3;3;3;3;2;3;2;3;4;2;5;2;4;2;3;3;3;3;4;4;4;4;1;3;3;4;3;3;3;4;3;4;3;3
33;0;6;1;7;1;2;?;?;0;3;3;3;4;4;3;3;4;4;4;3;3;4;3;3;1;3;3;3;4;4;4;1;1;2;2;3;1;3;2;4;3;3;3;4;3;3;3;2;2;3;1;3
33;0;6;0;5;1;4;?;?;0;5;4;5;4;5;3;4;3;4;5;5;4;?;3;3;1;3;5;3;5;5;4;1;1;1;1;3;1;1;3;5;3;3;3;2;2;1;2;2;2;4;1;2
34;0;4;1;11;1;2;?;?;0;3;4;4;5;5;4;5;4;4;4;3;4;4;3;2;2;4;4;4;4;4;4;4;4;4;4;3;2;2;2;4;3;4;3;4;4;?;4;4;4;4;1;2
59;0;2;1;36;1;1;?;?;0;4;4;4;4;4;3;4;3;4;4;3;3;5;4;3;3;3;3;3;5;5;5;4;3;4;4;4;4;2;4;4;2;4;4;4;3;3;5;4;4;4;1;2
36;0;4;1;9;1;2;?;?;0;3;3;4;5;4;3;4;4;2;1;1;3;3;4;4;2;3;5;3;5;5;5;1;1;2;2;3;1;2;2;5;2;3;3;4;2;1;4;2;2;3;1;2
34;0;4;1;7;1;2;?;?;0;3;3;3;5;5;4;2;4;2;4;2;3;2;2;4;1;3;4;3;4;4;4;1;1;3;3;4;1;2;1;4;1;2;2;4;2;4;2;2;2;2;1;5
41;0;6;1;15;1;3;?;?;0;3;3;2;4;4;2;3;4;2;3;3;4;2;4;3;2;2;4;3;4;4;4;2;2;2;2;3;3;4;3;4;4;2;2;4;4;3;2;2;2;2;1;4
43;0;5;0;19;1;4;?;?;0;2;3;3;4;4;2;4;4;3;3;2;2;3;2;2;1;2;2;2;4;4;4;2;2;2;2;3;2;2;3;4;3;2;2;3;3;3;3;2;3;3;1;1
43;0;3;0;4;1;4;?;?;0;2;2;2;3;2;3;4;2;2;2;2;3;2;2;2;2;2;2;2;3;3;3;1;1;2;2;2;2;3;1;4;4;2;2;3;3;3;3;2;2;2;1;2
32;0;4;1;8;1;2;?;?;0;3;4;4;5;4;4;5;5;4;4;4;3;5;4;4;1;3;5;4;5;5;5;2;1;2;2;5;2;1;4;3;3;3;3;4;4;3;4;4;5;5;1;4
32;0;4;0;7;1;4;?;?;0;4;3;3;5;4;3;5;5;3;4;2;5;4;3;4;1;3;5;2;5;4;4;1;1;1;1;2;1;1;1;4;1;2;2;2;5;1;5;1;2;4;1;1
52;0;1;1;10;1;3;?;?;1;2;2;4;5;4;2;3;4;4;4;2;4;1;2;4;1;2;4;3;4;4;2;1;1;4;3;4;1;1;1;4;3;2;4;4;5;3;3;4;5;5;2;3
31;0;6;1;10;1;3;?;?;0;4;5;4;5;5;4;5;5;4;4;3;2;4;4;3;2;3;4;4;5;4;5;3;4;4;5;4;1;2;2;4;4;5;4;5;4;4;5;5;5;5;1;2
37;0;6;1;11;1;3;?;?;0;2;3;3;4;4;3;3;3;2;3;2;4;3;3;3;1;2;4;2;5;5;5;2;1;2;2;3;1;1;3;4;4;3;3;3;5;2;3;2;2;2;1;1
33;0;4;1;5;1;3;?;?;0;2;3;4;3;4;3;4;4;4;4;3;2;3;2;3;2;2;4;2;3;4;4;2;1;2;3;2;2;1;2;3;1;2;3;5;5;5;5;4;4;4;1;3
32;0;1;0;2;1;5;?;?;0;4;4;5;4;4;5;5;4;3;5;3;2;4;3;3;4;4;5;4;5;5;5;3;3;4;4;4;5;1;3;5;5;3;4;5;2;2;4;4;5;3;2;4
52;0;6;1;23;1;2;?;?;1;3;3;3;5;4;4;3;4;4;4;3;3;3;4;4;1;2;3;2;4;5;5;2;3;3;3;4;4;3;4;2;2;3;3;4;4;4;4;3;3;4;2;5
62;0;1;1;17;1;2;?;?;1;4;4;5;5;4;4;3;3;5;5;3;3;4;2;3;5;2;2;2;4;4;4;4;5;5;4;4;5;4;4;3;2;4;5;3;5;3;4;5;5;3;4;4
50;0;1;0;15;1;3;?;?;0;3;2;3;4;4;3;4;4;3;2;3;4;4;4;3;3;3;?;2;4;4;4;3;2;4;4;4;2;2;2;4;2;4;4;5;5;3;3;4;5;2;1;2
42;0;6;1;20;1;2;?;?;0;4;3;4;4;3;4;5;5;3;4;3;4;3;4;4;2;2;2;2;4;4;4;3;3;4;3;4;4;4;4;3;2;4;4;4;3;3;4;3;4;4;2;2
43;0;6;1;20;1;2;?;?;0;5;4;5;4;3;2;4;4;3;4;3;2;4;2;3;3;2;4;3;4;4;5;2;1;4;4;5;1;1;1;4;3;4;5;3;4;3;3;4;4;4;1;1
44;0;6;1;17;1;2;?;?;0;3;4;4;4;4;3;4;4;4;4;4;2;4;3;3;2;3;4;3;4;4;5;1;1;1;1;3;1;1;1;4;3;3;3;4;4;4;3;2;2;4;1;3
41;0;4;1;?;1;3;?;?;0;4;4;4;2;3;1;4;3;4;4;4;2;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;1;4;4;3;3;3;5;4;4;4;1;4
50;0;1;1;23;1;2;?;?;1;5;5;5;5;5;4;5;5;4;4;4;2;5;5;3;4;2;2;4;5;4;4;3;4;4;4;4;3;1;4;2;2;5;5;5;4;3;4;4;5;4;2;4
48;0;1;1;16;1;2;?;?;0;5;5;5;4;4;4;4;4;4;4;3;2;3;4;3;1;4;3;4;5;5;5;1;4;4;4;4;5;5;3;5;5;5;5;5;5;1;1;5;5;5;1;4
47;0;6;1;17;1;2;?;?;0;5;4;4;4;4;4;4;4;4;4;3;2;3;3;4;2;3;3;4;4;4;4;2;1;2;2;4;2;3;3;4;2;3;4;4;5;4;3;3;4;4;1;2
51;0;1;1;13;1;2;?;?;0;3;2;2;2;2;?;3;2;5;4;2;3;4;?;?;2;2;3;?;4;5;5;3;3;4;?;4;4;1;2;4;2;4;4;5;5;5;4;4;5;5;1;1
46;0;5;1;13;1;2;?;?;1;?;?;?;5;4;3;4;4;3;3;2;5;3;?;?;1;2;5;?;5;5;4;1;1;1;2;3;3;4;4;?;?;?;?;4;4;4;?;2;?;4;2;1
42;0;3;1;12;1;3;?;?;0;2;3;4;3;4;3;4;4;3;3;3;3;4;3;4;2;2;4;3;4;5;5;2;1;2;2;3;1;4;3;5;5;1;2;1;1;2;1;3;4;4;1;2
44;0;4;1;17;1;2;?;?;0;2;4;4;4;4;?;3;?;4;4;4;2;?;?;?;3;?;?;?;4;?;?;3;?;3;?;4;1;1;1;?;?;2;?;1;1;1;1;4;4;4;1;4
53;1;1;1;6;1;2;?;?;0;2;2;2;4;4;3;3;3;2;4;2;3;2;2;3;1;1;1;1;3;3;3;1;1;2;2;3;3;3;2;5;5;3;2;5;5;5;5;2;4;4;1;3
39;1;6;1;16;1;2;?;?;0;2;4;3;4;4;?;4;4;3;3;4;4;3;?;?;1;2;?;?;4;4;4;2;1;?;?;4;1;3;2;5;2;?;3;4;3;?;4;3;2;2;1;1
42;1;6;0;17;1;3;?;?;0;2;3;3;4;3;3;3;4;3;3;3;4;2;3;3;1;2;4;3;4;4;4;2;2;2;2;3;1;2;3;4;4;3;3;4;4;4;4;3;3;4;2;2
46;1;4;1;15;1;3;?;?;0;4;1;4;5;4;4;1;4;2;2;1;2;1;?;3;1;1;3;?;5;2;3;1;1;1;1;2;2;2;3;2;2;2;2;4;4;4;?;3;4;3;1;2
47;1;6;0;20;1;3;?;?;0;3;3;3;5;4;5;4;4;4;4;4;3;3;3;5;1;2;3;2;4;5;4;1;1;1;1;3;1;1;1;3;3;2;2;4;3;3;1;1;1;4;1;1
39;1;6;1;18;1;3;?;?;0;2;3;2;4;4;2;3;2;4;3;3;4;3;3;2;1;2;2;1;4;4;5;1;1;1;1;3;4;4;3;3;2;2;3;2;5;4;4;2;3;3;1;1
38;1;1;1;12;1;3;?;?;0;3;4;3;5;?;2;4;4;4;4;3;3;3;3;2;2;2;3;3;4;4;4;3;2;3;3;3;3;2;1;3;2;3;3;5;5;5;5;4;4;2;2;3
43;1;6;0;14;1;2;?;?;0;3;2;2;4;4;3;4;4;3;3;4;2;3;3;3;1;2;4;3;5;5;5;1;1;1;1;3;1;2;2;5;3;3;3;3;5;3;5;2;3;5;1;4
42;1;6;0;3;1;4;?;?;0;2;2;2;5;3;5;5;5;2;3;2;2;2;2;5;1;2;4;1;5;5;4;1;1;1;1;2;2;3;3;5;5;3;3;4;4;4;4;2;2;2;1;5
46;1;4;1;16;1;3;?;?;0;3;3;3;4;4;3;4;3;3;4;3;3;3;2;3;2;2;4;3;4;3;4;3;2;3;2;3;2;2;3;4;2;4;4;4;4;4;4;4;3;4;2;3
40;1;6;1;12;1;3;?;?;0;3;3;3;4;4;4;4;4;3;3;3;2;4;4;3;2;2;3;2;5;5;5;2;2;3;3;4;3;3;3;4;3;4;4;4;4;3;3;4;5;5;2;4
48;1;1;1;16;1;2;?;?;0;3;3;3;5;5;2;4;3;3;3;3;4;2;2;4;2;3;3;3;5;4;4;3;3;4;1;3;1;1;1;3;2;2;4;4;1;1;5;4;5;4;1;3
36;1;6;1;10;1;2;?;?;0;2;1;3;5;5;4;3;3;4;4;4;3;4;3;3;2;3;4;4;4;4;4;3;2;4;4;4;3;2;3;4;4;4;4;3;3;3;3;4;5;5;2;2
37;1;6;1;10;1;2;?;?;1;4;3;3;5;5;4;4;4;4;4;4;5;3;2;4;1;2;2;4;5;5;5;2;2;3;3;4;2;4;2;4;1;3;3;2;4;2;1;3;3;4;2;5
50;1;4;1;20;1;2;?;?;0;2;2;2;5;4;5;3;?;3;3;3;5;3;1;1;2;3;5;5;5;5;5;1;1;1;1;5;1;3;1;5;1;3;3;3;3;3;3;2;4;5;1;2
43;1;4;1;16;1;3;?;?;1;4;4;4;4;3;3;4;4;4;4;4;3;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;2;2;2;4;4;4;4;4;4;4;4;4;4;3;3;4
49;1;6;1;25;1;2;?;?;0;3;3;3;4;5;3;3;3;4;4;2;2;3;3;3;2;2;2;4;4;4;4;3;2;3;3;2;2;2;2;4;3;3;3;4;4;4;4;4;4;4;2;2
35;1;6;1;11;1;3;?;?;0;2;3;3;5;3;?;3;4;3;3;1;?;3;1;?;1;1;4;4;3;3;5;1;1;1;2;1;1;2;1;4;3;1;1;?;?;3;1;3;3;3;1;2
46;1;3;1;22;1;2;?;?;0;4;3;3;3;5;3;3;2;4;4;2;3;5;4;3;1;2;4;4;2;2;2;1;3;1;1;4;1;1;1;5;4;3;2;4;5;4;4;1;4;4;1;4
40;1;6;1;15;1;2;?;?;0;4;4;4;2;5;3;3;4;3;4;3;3;5;5;5;3;3;3;5;5;4;5;4;4;5;4;5;2;5;4;4;4;5;5;5;5;5;5;4;4;4;2;5
35;1;6;0;6;1;3;?;?;0;3;3;4;5;5;?;5;5;4;5;4;3;4;?;?;1;?;5;?;5;5;5;2;1;1;1;3;1;1;1;5;5;3;3;5;4;5;5;4;4;5;1;1
41;1;6;1;18;1;2;?;?;0;2;2;3;4;3;4;4;2;2;2;2;2;2;2;2;2;2;4;2;2;5;3;2;?;2;2;2;2;2;2;4;3;3;2;2;2;2;2;4;4;3;2;3
41;1;6;1;15;1;2;?;?;0;4;3;4;4;4;2;4;3;2;3;2;4;3;2;2;1;2;2;2;4;4;4;1;1;2;1;3;2;2;2;3;3;2;2;4;4;4;2;2;4;4;1;3
55;1;1;1;9;1;2;?;?;1;4;4;4;4;4;4;3;3;3;3;3;2;3;4;3;1;3;2;3;4;4;5;4;2;4;2;4;2;1;2;4;4;4;4;5;5;5;5;4;4;4;3;5
45;1;5;0;17;1;4;?;?;0;2;2;3;4;4;3;3;3;3;3;2;3;3;3;3;1;2;2;2;3;3;3;1;1;1;1;2;?;2;2;4;4;2;2;4;4;4;4;2;3;3;1;3
45;1;1;1;18;1;2;?;?;0;2;2;3;5;5;4;4;5;4;3;3;4;4;4;?;2;1;2;3;5;5;5;2;2;2;2;4;2;3;3;5;2;3;3;5;5;5;5;2;4;5;1;1
37;1;6;1;9;1;2;?;?;0;4;3;3;3;5;4;3;4;4;4;3;3;3;5;4;4;4;4;4;5;5;5;3;1;3;3;4;3;4;4;5;4;4;4;5;5;4;5;4;4;4;1;4
35;1;6;0;11;1;4;?;?;0;2;2;2;5;3;3;?;3;2;2;3;4;1;2;3;1;1;4;1;4;4;2;1;1;1;2;1;1;2;4;3;3;2;1;5;4;4;4;1;1;2;1;1
33;1;5;0;10;1;4;?;?;0;2;3;3;4;4;3;4;4;3;3;3;2;2;3;3;1;1;2;1;3;3;3;1;1;1;1;2;1;2;1;4;3;3;1;5;4;4;5;1;4;4;1;1
44;1;1;1;?;1;2;?;?;0;1;2;2;5;5;3;2;2;2;2;2;4;1;1;3;1;1;3;2;5;4;4;1;1;2;1;3;3;3;2;5;3;1;1;4;2;2;2;2;3;2;1;5
38;1;6;0;8;1;3;?;?;0;3;2;2;4;4;3;4;4;3;4;3;5;2;3;4;1;1;4;2;4;4;5;1;1;1;1;3;1;1;1;5;3;2;3;4;4;4;3;3;3;4;1;1
48;1;5;1;14;1;2;?;?;0;2;3;3;5;5;2;4;3;3;3;3;5;4;5;3;1;2;4;2;5;4;5;1;3;1;1;1;1;2;3;5;2;2;3;5;2;2;4;2;5;3;1;2
44;1;1;1;15;1;2;?;?;0;3;3;5;5;4;3;3;5;3;3;3;4;3;3;4;1;1;2;2;5;5;5;2;1;3;2;3;5;5;3;5;4;4;4;5;5;5;5;5;5;2;1;3
33;1;6;1;?;1;3;?;?;1;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;2;2;2;3;3;3;3;3;3;2;2;4;3;4;3;2;3;3;2;3
40;1;3;1;2;1;3;?;?;0;3;3;3;5;4;3;3;4;3;3;3;4;4;4;4;2;2;3;2;4;4;5;2;3;2;2;3;3;3;3;4;2;2;3;3;2;2;5;3;4;4;2;4
29;1;4;0;5;1;4;?;?;0;3;3;2;5;3;4;4;4;3;4;3;4;4;3;4;2;3;4;2;4;4;4;1;1;2;2;3;3;4;4;5;4;3;3;4;4;3;3;2;4;4;2;5
